t,x,y
13.334,192.9,-513.0
13.351,190.6,-513.7
13.368,186.9,-515.0
13.384,181.9,-516.9
13.401,175.3,-518.8
13.418,167.6,-521.3
13.434,159.1,-523.8
13.451,148.9,-526.9
13.467,137.2,-529.6
13.484,124.1,-532.3
13.501,111.7,-534.8
13.517,97.55,-536.9
13.534,83.11,-539.0
13.551,65.86,-540.5
13.567,48.93,-541.6
13.584,31.52,-542.4
13.601,14.72,-542.4
13.617,-1.280,-541.7
13.634,-18.46,-540.3
13.651,-34.03,-538.8
13.667,-50.86,-536.6
13.684,-64.80,-533.8
13.701,-79.36,-531.0
13.717,-92.84,-527.9
13.734,-106.3,-524.7
13.750,-118.6,-521.4
13.767,-128.7,-518.2
13.784,-137.9,-515.4
13.800,-145.3,-512.7
13.817,-152.3,-510.2
13.834,-157.5,-508.3
13.850,-160.5,-506.8
13.867,-162.2,-505.9
13.884,-162.9,-505.4
13.900,-161.6,-505.7
13.917,-159.1,-506.6
13.934,-154.8,-507.8
13.950,-148.8,-509.6
13.967,-141.7,-511.9
13.984,-133.3,-514.6
14.000,-124.0,-517.7
14.017,-112.8,-520.5
14.033,-100.9,-523.8
14.050,-87.93,-526.8
14.067,-74.47,-529.6
14.083,-59.89,-532.4
14.100,-44.10,-534.7
14.117,-27.90,-536.7
14.133,-11.08,-538.1
14.150,5.428,-539.0
14.167,21.29,-539.6
14.183,38.22,-539.5
14.200,54.85,-538.9
14.217,70.88,-538.1
14.233,84.69,-536.4
14.250,99.84,-534.8
14.267,112.8,-532.8
14.283,125.4,-530.6
14.300,138.5,-528.0
14.316,148.7,-525.7
14.333,157.7,-523.3
14.350,165.7,-521.4
14.366,172.7,-519.3
14.383,178.3,-517.6
14.400,182.9,-516.2
14.416,185.6,-515.5
14.433,187.4,-515.1
14.450,187.5,-515.0
14.466,186.6,-515.3
14.483,184.2,-516.3
14.500,180.4,-517.6
14.516,175.3,-519.4
14.533,169.2,-521.7
14.550,161.7,-523.9
14.566,153.1,-526.1
14.583,142.1,-528.7
14.599,130.8,-531.2
14.616,118.9,-533.8
14.633,105.9,-536.0
14.649,90.42,-538.3
14.666,77.71,-540.0
14.683,62.25,-540.8
14.699,46.80,-541.8
14.716,29.24,-542.4
14.733,13.14,-542.3
14.749,-3.747,-541.6
14.766,-19.58,-540.4
14.783,-34.98,-538.9
14.799,-51.19,-536.6
14.816,-64.86,-533.9
14.833,-78.62,-530.9
14.849,-91.62,-527.8
14.866,-104.6,-524.7
14.882,-115.6,-521.7
14.899,-126.2,-518.6
14.916,-134.3,-515.8
14.932,-141.5,-513.1
14.949,-147.7,-510.7
14.966,-152.0,-509.0
14.982,-155.5,-507.4
14.999,-156.9,-506.8
15.016,-157.3,-506.6
15.032,-156.0,-507.0
15.049,-153.3,-507.7
15.066,-148.5,-509.0
15.082,-143.1,-511.0
15.099,-135.8,-513.0
15.116,-127.4,-515.5
15.132,-117.6,-518.4
15.149,-107.1,-521.4
15.165,-94.77,-524.5
15.182,-81.83,-527.3
15.199,-66.76,-529.9
15.215,-52.75,-532.5
15.232,-37.67,-534.5
15.249,-21.79,-536.4
15.265,-6.107,-537.7
15.282,10.48,-538.8
15.299,24.85,-539.6
15.315,40.94,-539.7
15.332,57.58,-538.9
15.349,72.75,-537.9
15.365,86.38,-536.6
15.382,100.8,-534.8
15.399,113.7,-532.8
15.415,125.7,-530.8
15.432,137.7,-528.7
15.448,147.2,-526.4
15.465,156.1,-524.5
15.482,163.6,-522.4
15.498,170.2,-520.4
15.515,175.9,-519.0
15.532,179.8,-517.8
15.548,182.2,-516.8
15.565,183.6,-516.5
15.582,183.6,-516.5
15.598,182.4,-516.9
15.615,179.9,-517.9
15.632,176.0,-519.2
15.648,170.9,-520.8
15.665,164.2,-522.8
15.682,156.9,-525.1
15.698,148.1,-527.3
15.715,138.2,-529.6
15.731,126.4,-532.4
15.748,114.9,-534.7
15.765,101.7,-536.7
15.781,87.27,-538.5
15.798,74.38,-539.9
15.815,59.47,-540.8
15.831,44.03,-541.8
15.848,28.34,-541.8
15.865,11.51,-541.4
15.881,-3.894,-540.8
15.898,-20.61,-539.5
15.915,-34.97,-537.8
15.931,-50.53,-535.5
15.948,-65.13,-533.4
15.965,-78.47,-530.6
15.981,-90.80,-527.5
15.998,-102.6,-524.8
16.014,-112.9,-521.6
16.031,-122.5,-518.8
16.048,-130.8,-516.2
16.064,-137.5,-514.0
16.081,-143.4,-511.9
16.098,-147.6,-510.3
16.114,-150.3,-509.2
16.131,-151.5,-508.5
16.148,-151.4,-508.5
16.164,-149.9,-508.9
16.181,-146.9,-510.0
16.198,-142.4,-511.1
16.214,-136.5,-512.7
16.231,-129.2,-514.8
16.248,-121.0,-517.3
16.264,-110.4,-519.9
16.281,-99.99,-522.7
16.297,-88.69,-525.5
16.314,-75.73,-528.3
16.331,-61.60,-530.9
16.347,-48.48,-533.5
16.364,-33.87,-535.5
16.381,-20.02,-537.5
16.397,-4.755,-538.6
16.414,11.59,-539.7
16.431,27.89,-539.9
16.447,43.11,-539.9
16.464,56.37,-539.5
16.481,71.08,-538.6
16.497,84.27,-537.4
16.514,98.44,-535.6
16.531,111.5,-533.8
16.547,123.4,-531.8
16.564,133.2,-529.7
16.580,143.4,-527.9
16.597,151.7,-525.7
16.614,159.6,-523.9
16.630,166.0,-522.1
16.647,170.4,-520.7
16.664,174.1,-519.7
16.680,176.1,-518.9
16.697,176.9,-518.6
16.714,176.6,-518.9
16.730,175.2,-519.5
16.747,172.6,-520.4
16.764,168.4,-522.0
16.780,163.1,-523.4
16.797,156.6,-525.5
16.814,148.3,-527.5
16.830,139.5,-529.7
16.847,129.9,-532.0
16.863,119.5,-534.0
16.880,107.7,-536.0
16.897,94.80,-537.7
16.913,81.04,-539.5
16.930,67.28,-540.8
16.947,52.96,-541.7
16.963,38.69,-541.9
16.980,21.50,-542.3
16.997,7.175,-541.4
17.013,-8.103,-540.8
17.030,-23.63,-539.3
17.047,-38.06,-537.6
17.063,-52.68,-535.6
17.080,-65.42,-533.0
17.097,-79.58,-530.3
17.113,-91.31,-527.7
17.130,-102.1,-524.8
17.146,-111.6,-522.0
17.163,-120.4,-519.0
17.180,-128.3,-516.7
17.196,-134.8,-514.5
17.213,-139.6,-512.5
17.230,-143.0,-511.1
17.246,-145.7,-509.8
17.263,-146.7,-509.3
17.280,-146.1,-509.5
17.296,-144.2,-510.0
17.313,-140.8,-510.8
17.330,-136.2,-512.6
17.346,-130.4,-514.4
17.363,-123.0,-516.6
17.380,-114.1,-518.9
17.396,-104.7,-521.4
17.413,-94.34,-524.2
17.429,-81.99,-527.0
17.446,-70.15,-529.5
17.463,-56.22,-531.9
17.479,-43.46,-534.3
17.496,-28.42,-535.8
17.513,-13.76,-537.7
17.529,1.667,-538.8
17.546,15.67,-539.5
17.563,31.20,-539.6
17.579,45.84,-539.8
17.596,59.67,-539.5
17.613,73.84,-538.8
17.629,86.08,-537.4
17.646,100.2,-535.8
17.663,112.6,-533.9
17.679,122.7,-532.4
17.696,132.9,-530.5
17.712,141.8,-528.7
17.729,149.4,-526.6
17.746,156.7,-525.0
17.762,162.3,-523.4
17.779,166.6,-522.2
17.796,169.7,-521.3
17.812,171.7,-520.9
17.829,172.5,-520.6
17.846,171.9,-520.8
17.862,170.4,-521.6
17.879,167.1,-522.6
17.896,162.8,-523.9
17.912,157.3,-525.4
17.929,150.6,-527.4
17.946,142.6,-529.4
17.962,133.9,-531.7
17.979,123.8,-533.6
17.995,112.9,-535.5
18.012,101.2,-537.3
18.029,89.57,-538.9
18.045,75.84,-540.5
18.062,62.00,-541.6
18.079,47.54,-542.6
18.095,33.41,-542.6
18.112,18.24,-542.5
18.129,2.659,-541.5
18.145,-12.26,-540.5
18.162,-25.86,-539.3
18.179,-39.73,-537.6
18.195,-53.46,-535.6
18.212,-66.22,-533.0
18.229,-79.38,-530.5
18.245,-90.71,-527.6
18.262,-100.5,-525.1
18.278,-109.2,-522.1
18.295,-118.4,-519.6
18.312,-125.2,-517.1
18.328,-131.3,-515.0
18.345,-136.1,-513.4
18.362,-139.3,-512.0
18.378,-141.5,-511.2
18.395,-141.8,-510.9
18.412,-140.9,-511.1
18.428,-139.1,-511.5
18.445,-135.5,-512.6
18.462,-130.5,-514.1
18.478,-124.3,-516.2
18.495,-116.8,-518.2
18.512,-108.5,-520.5
18.528,-98.60,-523.0
18.545,-87.76,-525.4
18.561,-75.49,-528.0
18.578,-63.89,-530.4
18.595,-50.73,-532.6
18.611,-36.81,-534.6
18.628,-23.10,-536.5
18.645,-8.439,-537.8
18.661,6.311,-538.7
18.678,20.45,-539.6
18.695,35.21,-539.7
18.711,49.46,-539.7
18.728,63.11,-539.6
18.745,76.20,-538.4
18.761,88.25,-537.4
18.778,101.7,-535.8
18.795,112.2,-534.3
18.811,123.0,-532.7
18.828,132.6,-530.8
18.844,141.2,-528.7
18.861,149.1,-527.0
18.878,154.8,-525.5
18.894,160.4,-523.8
18.911,164.7,-522.9
18.928,167.4,-521.8
18.944,168.9,-521.6
18.961,169.3,-521.6
18.978,168.5,-521.8
18.994,166.4,-522.3
19.011,163.2,-523.4
19.028,158.9,-525.0
19.044,153.6,-526.4
19.061,146.9,-528.1
